LABEL,Question,Examples,Definition,Comment
concept,"s the term primarily abstract or theoretical? Does the term refer to a scientific or mathematical concept rather than something that exists in the system being described? Is the term a statistical term, theoretical framework, methodological construct?","statistical terms, theoretical frameworks, methodological constructs, normal distribution, regression, resilience (in theoretical discussion), binomial distribution, theory, record, pattern","abstract or theoretical construct used in analysis or discourse (e.g. climate, conservation status, resilience, scenario, vulnerability, link, trend, normal distribution, regression, resilience, binomial distribution, theory)",
temporal entity,"Does the term refer to time periods, temporal units, or temporal attributes? Is it a time unit or a time interval?","breeding season, monsoon, Holocene, winter, season, fire season, year, epoch",a named or identifiable time period or phase,
temporal property,"Does the term refer to time periods, temporal units, or temporal attributes? Is it a temporal attribute?","annual, decadal, phenological timing, duration, diel, interannual variability, short term, first time, prior",a temporal descriptor or metric,
spatial entity,"Does the term describe a place, spatial unit, location, or spatial extent? Is it a place or a spatial unit? Can I point to it? ","watershed, grid cell, elevation belt, buffer zone, district, national park, grid cell, polygon","a named or operational geographic extent or geometric unit used for mapping or aggregation, a geographic location that could appear on a map or have a bounding box",
spatial property,"Does the term describe a place, spatial unit, location, or spatial extent? Is it a spatial attribute, Is this a value I would measure or a direction/relative position?","elevation, slope, aspect, distance, area, location, perimeter, spatial extent, distance to road, windward side, eastern slopes",a geometric or positional descriptor of a location,
anthropogenic entity,"Is the phenomenon created, performed, or organized by humans? Is it a human-created thing?","road, dam, house, mine, bank, land-tenure regime, law, management plan, traditional knowledge, conservation policy, family, emergence trap, strategies","a human-made physical object, infrastructure or modification","a human-made physical or intellectual object, infrastructure or modification or knowledge"
anthropogenic process,"Is the phenomenon created, performed, or organized by humans? Is it a human activity or action?","mining, policy implementation, conservation planning, human migration, irrigation, logging, deforestation, tourism, surveys, patrols, work","an activity or action performed by humans that affects socioecological systems, process nominalizations that refer to an activity or plan in progress","Human research activity (e.g. analysis, sampling, measurement, etc) is usually part of the methods section and we do not label it"
anthropogenic property,"Is the phenomenon created, performed, or organized by humans? Is it a characteristic of human systems?","population density, land tenure type, ownership, infrastructure density, tourism pressure, literacy rate","a measurable social, economic or governance attribute",
abiotic entity,Does the term refer to non-living environmental phenomena? Does it refer to a physical thing or substance or aggregated environmental system?,"rock, glacier, soil, river, moraine, mountain, permafrost layer, rock outcrop, snowpack, lake OR glacial deposits, soil horizons, sediment layers","a non-living natural physical object or component of the environment, or an aggregation or assemblage of abiotic entities forming a functional unit",
abiotic process,Does it refer to an environmental process?,"erosion, landsliding, glacial melt, climate change, climate warming, condensation, convection, orographic uplift, wind drift, thermal inversion, orogeny, avalanche, sedimentation, soil sealing",a physical or chemical change in the environment,
abiotic property,Does it refer to an environmental attribute?,"climatic condition, cold climate, mean global temperature, salinity, snow cover, conductivity, radiation, abiotic environmental factors, pH",a measurable physical or chemical attribute,
biotic entity,Does the term involve living organisms or biological material? Does it refer to a single organism or biological object OR Does it correspond to a group of organisms functioning together?,"snow leopard, juniper species, species (e.g. we reported this species for the first time), rhododendron, plants, ruminants, stem, organ, Vulpes vulpes, tetra chamois, leaf OR community, guild, ecosystem, fauna, mixed broadleaf forest, population, alpine grassland, vegetation layers, predator-prey system, riparian vegetation, species (e.g. carnivorous species are dangerous)",a living organism or taxon at the individual/species level  OR an assemblage of organisms functioning as a unit,
biotic process,Does it refer to a biological activity or interaction?,"pollination, predation, succession, migration, decomposition, flowering, disappearance of species, population decrease, herbivory, phenology, nutrient cycling",a biological action or interaction performed by or involving living organisms,
biotic property,Is it an attribute of organisms or biological systems?,"biomass, species richness, forest biodiversity, population growth rate, genetic diversity, habitat condition, canopy height, wood density, functional trait","a trait, attribute or measurable characteristic of organisms or biotic assemblages",
quantitative property,Can it be measured or counted?,"16%, 100 meters above the sea level, 3000 km, 15 species, half of a populations",a measurable attribute of an object,
qualitative property,What kind is this entity/process/property from the point of its unmeasurable attributes? Can it be characterised?,"Big mountain, fast change, unpredictable growth,",Any non-quantitative attribute,
